,Matrix
Min,"[[ 0.018  0.018]
 [-2.467 -2.467]]"
Max,"[[1.367      6.642     ]
 [1.18533976 6.397     ]]"
Mean,"[[ 0.07135619  0.55378957]
 [-0.33075591  0.15167746]]"
Std,"[[0.08668494 1.54453765]
 [0.63066594 1.62298976]]"
Skew,"[[ 4.92791513  3.03820823]
 [-1.53042998  2.32159276]]"
Kurt,"[[30.27013656  7.43252441]
 [ 1.22217694  5.55947086]]"
Load,"[[  2500.321       19404.78643761]
 [-11589.68724716   5314.77819045]]"
q5,"[[ 0.027       0.028     ]
 [-1.8008854  -1.74963175]]"
q95,"[[0.20305    5.798     ]
 [0.083      5.19140568]]"
Entropy,"[[5.64595363 6.35349573]
 [8.34134043 8.85871894]]"
KL,"[[0.         0.15956348]
 [1.02777074 1.08304394]]"
TVD,"[[0.         0.01146953]
 [0.03630967 0.03953841]]"
Wasserstein,"[[0.         0.48242956]
 [0.40211888 0.75010796]]"
